Season,Player,Tm,G,MP,PTS,Total_PTS,PTS_per_48
2021,Precious Achiuwa,MIA,3,4.0,2.3,6.8999999999999995,27.599999999999998
2021,Bam Adebayo,MIA,4,34.0,15.5,62.0,21.88235294117647
2021,Ty-Shon Alexander,PHO,1,1.0,2.0,2.0,96.0
2021,Grayson Allen,MEM,5,23.2,6.4,32.0,13.24137931034483
2021,Kyle Anderson,MEM,5,28.4,8.4,42.0,14.197183098591552
2021,Giannis Antetokounmpo,MIL,21,38.1,30.2,634.1999999999999,38.047244094488185
2021,Thanasis Antetokounmpo,MIL,13,3.5,0.7,9.1,9.6
2021,Carmelo Anthony*,POR,6,23.8,12.3,73.80000000000001,24.80672268907563
2021,Trevor Ariza,MIA,4,24.0,4.8,19.2,9.6
2021,Deandre Ayton,PHO,22,36.4,15.8,347.6,20.835164835164836
2021,Udoka Azubuike,UTA,1,1.0,0.0,0.0,0.0
2021,Desmond Bane,MEM,5,19.8,5.6,28.0,13.575757575757576
2021,RJ Barrett,NYK,5,32.4,14.4,72.0,21.333333333333336
2021,Will Barton,DEN,3,27.7,16.3,48.900000000000006,28.24548736462094
2021,Nicolas Batum,LAC,19,29.2,8.1,153.9,13.315068493150685
2021,Bradley Beal,WAS,5,39.0,30.0,150.0,36.92307692307693
2021,Dāvis Bertāns,WAS,4,26.5,9.3,37.2,16.845283018867928
2021,Patrick Beverley,LAC,17,19.0,4.9,83.30000000000001,12.378947368421052
2021,Nemanja Bjelica,MIA,2,15.0,9.0,18.0,28.8
2021,Keljin Blevins,POR,2,2.0,1.0,2.0,24.0
2021,Bogdan Bogdanović,ATL,18,33.2,14.1,253.79999999999998,20.385542168674696
2021,Bojan Bogdanović,UTA,11,35.5,18.1,199.10000000000002,24.47323943661972
2021,Bol Bol,DEN,3,2.0,0.0,0.0,0.0
2021,Isaac Bonga,WAS,4,2.5,0.0,0.0,0.0
2021,Devin Booker,PHO,22,40.4,27.3,600.6,32.43564356435643
2021,Jarrell Brantley,UTA,2,1.5,0.5,1.0,16.0
2021,Mikal Bridges,PHO,22,32.1,11.1,244.2,16.598130841121495
2021,Dillon Brooks,MEM,5,35.0,25.8,129.0,35.38285714285714
2021,Bruce Brown,BRK,12,23.1,7.9,94.80000000000001,16.415584415584416
2021,Jalen Brunson,DAL,7,16.3,8.0,56.0,23.558282208588956
2021,Elijah Bryant,MIL,11,4.5,1.3,14.3,13.866666666666667
2021,Reggie Bullock,NYK,5,32.4,8.8,44.0,13.03703703703704
2021,Trey Burke,DAL,2,8.5,0.5,1.0,2.823529411764706
2021,Alec Burks,NYK,5,25.6,14.0,70.0,26.25
2021,Jimmy Butler,MIA,4,38.5,14.5,58.0,18.07792207792208
2021,Kentavious Caldwell-Pope,LAL,5,29.2,6.2,31.0,10.19178082191781
2021,Facundo Campazzo,DEN,10,27.0,9.3,93.0,16.533333333333335
2021,Vlatko Čančar,DEN,5,4.2,2.2,11.0,25.142857142857146
2021,Clint Capela,ATL,18,31.6,10.1,181.79999999999998,15.341772151898732
