Season,Player,Tm,G,MP,PTS,Total_PTS,PTS_per_48
2019,Steven Adams,OKC,5,31.8,11.8,59.0,17.81132075471698
2019,LaMarcus Aldridge,SAS,7,34.9,20.0,140.0,27.507163323782237
2019,Grayson Allen,UTA,2,7.0,4.5,9.0,30.857142857142854
2019,Jarrett Allen,BRK,5,22.0,11.0,55.0,24.0
2019,Al-Farouq Aminu,POR,16,24.9,7.4,118.4,14.265060240963857
2019,Giannis Antetokounmpo,MIL,15,34.3,25.5,382.5,35.68513119533528
2019,D.J. Augustin,ORL,5,28.2,12.8,64.0,21.787234042553195
2019,Will Barton,DEN,14,23.4,9.1,127.39999999999999,18.666666666666668
2019,Aron Baynes,BOS,9,12.8,2.1,18.900000000000002,7.875
2019,Malik Beasley,DEN,14,20.1,8.1,113.39999999999999,19.34328358208955
2019,Marco Belinelli,SAS,7,18.7,5.9,41.300000000000004,15.14438502673797
2019,Jordan Bell,GSW,15,7.1,2.7,40.5,18.253521126760567
2019,Dāvis Bertāns,SAS,5,15.8,3.2,16.0,9.721518987341772
2019,Patrick Beverley,LAC,6,32.5,9.8,58.800000000000004,14.473846153846155
2019,Khem Birch,ORL,5,18.4,5.2,26.0,13.565217391304348
2019,Eric Bledsoe,MIL,15,28.2,13.7,205.5,23.319148936170212
2019,Bojan Bogdanović,IND,4,37.0,18.0,72.0,23.351351351351354
2019,Andrew Bogut,GSW,19,9.4,2.7,51.300000000000004,13.787234042553191
2019,Jonah Bolden,PHI,10,7.9,1.6,16.0,9.721518987341772
2019,Chris Boucher,TOR,2,2.0,2.5,5.0,60.0
2019,Malcolm Brogdon,MIL,7,28.3,13.0,91.0,22.04946996466431
2019,Bruce Brown,DET,4,14.3,3.3,13.2,11.076923076923077
2019,Jaylen Brown,BOS,9,30.4,13.9,125.10000000000001,21.947368421052634
2019,Sterling Brown,MIL,11,14.7,4.1,45.099999999999994,13.387755102040815
2019,Deonte Burton,OKC,3,1.3,0.7,2.0999999999999996,25.846153846153843
2019,Jimmy Butler,PHI,12,35.1,19.4,232.79999999999998,26.529914529914528
2019,José Calderón,DET,3,3.3,0.0,0.0,0.0
2019,Clint Capela,HOU,11,30.1,9.7,106.69999999999999,15.468438538205978
2019,DeMarre Carroll,BRK,5,23.8,6.6,33.0,13.310924369747898
2019,Michael Carter-Williams,ORL,5,18.4,6.6,33.0,17.217391304347824
2019,Wilson Chandler,LAC,4,13.0,3.8,15.2,14.03076923076923
2019,Gary Clark,HOU,2,2.0,0.0,0.0,0.0
2019,Zach Collins,POR,16,17.2,6.8,108.8,18.976744186046513
2019,Darren Collison,IND,4,29.3,12.0,48.0,19.658703071672356
2019,Pat Connaughton,MIL,15,21.6,6.2,93.0,13.777777777777777
2019,Quinn Cook,GSW,17,11.4,4.2,71.4,17.684210526315788
2019,DeMarcus Cousins,GSW,8,16.6,7.6,60.8,21.975903614457827
2019,Torrey Craig,DEN,14,23.6,6.6,92.39999999999999,13.42372881355932
2019,Jae Crowder,UTA,5,26.0,11.4,57.0,21.04615384615385
2019,Dante Cunningham,SAS,5,2.6,1.2,6.0,22.15384615384615
